FID_1,X,Y,ID,Pb,Zn,Cu,SIGLE_PEDO,region_etm,GS
409,238401,153664,02/LA00951,32.1441441441,10.9736842105,13.8571428571,Aba1,6,9
654,237838,152974,03/LA01232,18.5982142857,,12,Aba1,6,9
511,224562,137188,02/LA04725,32.1441441441,135.184210526,14.8095238095,Aba1,6,9
473,214050,132070,02/LA04323,40.2522522523,57.5526315789,12.9047619048,Aca0,6,9
544,214043,133536,02/LA05640,,175.973684211,10.0476190476,Ada0,6,9
512,221460,135511,02/LA04727,45.6576576577,252.289473684,15.7619047619,Ada1,6,9
522,198111,136374,02/LA04942,35.7477477477,122.026315789,10.0476190476,AIa0,6,9
584,225309,137389,02/LA06303,25.8378378378,91.7631578947,12.9047619048,AFp,6,9
510,223526,149318,02/LA04724,33.045045045,161.5,13.8571428571,Aba1,2,4
509,215151,149590,02/LA04723,,115.447368421,13.8571428571,Aba1,2,4
655,238418,160638,03/LA01233,17.7053571429,,12,Aba0,2,4
695,234866,156634,03/LA03347,29.3125,,17,Aba1,2,4
546,197143,158676,02/LA05642,20.4324324324,62.8157894737,11,Aba1,2,4
455,239295,161200,02/LA03000,25.8378378378,85.1842105263,16.7142857143,Aba1,2,4
656,235288,162021,03/LA01236,18.5982142857,,12,Aba1,2,4
513,224175,149256,02/LA04728,,187.815789474,15.7619047619,Abp(c),2,4
583,237998,161142,02/LA06301,26.7387387387,98.3421052632,13.8571428571,gAba2_3,2,4
293,235250,123700,00980E,,60.6666666667,,GbBKf2,10,22
545,217155,132605,02/LA05641,42.0540540541,197.026315789,26.2380952381,Ada0,8,9
581,229896,125746,02/LA06299,26.7387387387,111.5,11,ADa1,8,9
580,221694,132805,02/LA06298,,131.236842105,11.9523809524,aGbap2,8,14
290,235845,123552,00980A,,58.5454545454,,Aca0,12,25
291,235801,123632,00980B,,62.8888888889,,Aca0,12,25
292,235707,123686,00980C,,61.5757575758,,Aca0,12,25
1116,247408,114309,108A,,80.3432515092,20.006896977,Gbbfi4,13,28
1367,258437,108532,113A,,83.1065934066,20.7793095057,Gbbfi2,13,28
1410,268195,145504,115A,,,13.1655168161,Gbbr2,9,25
824,240142,149614,100_ThBailleux,,,53.3715816092,GbBf0_1,7,15
865,240142,149614,101_ThBailleux,,324.335214286,,GbBf0_1,7,15
886,240142,149614,102_ThBailleux,,326.88220989,,GbBf0_1,7,15
968,240142,149614,103_ThBailleux,,331.170018681,,GbBf0_1,7,15
1000,240142,149614,104_ThBailleux,,333.160968132,,GbBf0_1,7,15
1029,240142,149614,105_ThBailleux,,332.511120879,,GbBf0_1,7,15
1056,240142,149614,106_ThBailleux,,326.017718681,,GbBf0_1,7,15
1082,240142,149614,107_ThBailleux,,310.054630769,,GbBf0_1,7,15
1107,240142,149614,108_ThBailleux,,349.160393407,,GbBf0_1,7,15
1117,240142,149614,109_ThBailleux,,335.926832967,,GbBf0_1,7,15
1149,240142,149614,110_ThBailleux,,334.788543956,,GbBf0_1,7,15
1225,240142,149614,111_ThBailleux,,329.3447,,GbBf0_1,7,15
1295,240142,149614,112_ThBailleux,,352.48483956,,GbBf0_1,7,15
1327,240142,149614,113_ThBailleux,,337.228217582,,GbBf0_1,7,15
1369,240142,149614,114_ThBailleux,,327.643604396,,GbBf0_1,7,15
1401,240142,149614,115_ThBailleux,,324.627603297,,GbBf0_1,7,15
1411,240142,149614,116_ThBailleux,,330.846362637,,GbBf0_1,7,15
791,211300,141200,070808 07309,,,,Aba1,6,9
792,211300,141200,070808 07310,,,,Aba1,6,9
789,206100,135100,070808-07317,,,,Aba1,6,9
790,206100,135100,070808-07318,,,,Aba1,6,9
864,197052,134396,101_ALienard,51.602539,64.25344,10.2728658218,Abp(c),6,9
823,218535,139331,10_ThBailleux,,,58.0618390805,GbBf2,6,13
1147,218535,139331,11_ThBailleux,,,66.4675954023,GbBf2,6,13
1237,2e+05,139800,11101/R,,67.5353535353,,xADp2_3,6,9
1238,2e+05,139800,11101/S,27.2,72.9898989899,,xADp2_3,6,9
820,218638,139292,1_ThBailleux,,6852.14973956,,OX,6,43
1128,219750,147200,10942/B,40.8,147.03030303,,Aba,2,4
1129,219750,147200,10942/C,,136.929292929,,Aba,2,4
1130,219750,147200,10942/D,41.7,146.02020202,,Aba,2,4
1131,219750,147200,10942/E,40.2,138.949494949,,Aba,2,4
1132,219750,147200,10942/F,37.9,140.96969697,,Aba,2,4
1127,221500,150300,10942/A,38,121.777777778,,Aba1,2,4
1242,196513,157762,11111,,29,12.9047619048,Aba1,2,4
701,239530,160172,03/LA03355,41.8125,,19,Aba1,2,4
696,227621,154609,03/LA03348,26.6339285714,,16,Abp(c),2,4
700,240480,159235,03/LA03354,,,18,Aba1,2,4
702,240291,159041,03/LA03357,43.5982142857,,19,Aba1,2,4
703,240001,159276,03/LA03358,39.1339285714,,18,Aba1,2,4
704,239711,159237,03/LA03359,39.1339285714,,19,Aba1,2,4
705,239667,159059,03/LA03360,40.9196428571,,18,Aba1,2,4
698,236420,161951,03/LA03352,28.4196428571,,17,Aba1,2,4
821,216822,153406,10-Mar,28.4,111.5,20.5238095238,AbB2,2,4
786,221450,148300,070808-07311,,,,Abp,2,4
787,221450,148300,070808-07312,,,,Abp,2,4
788,221450,148300,070808-07313,,,,Abp,2,4
749,240664,158617,03/LA3356,41.8125,,18,Gba,2,5
819,242679,159694,1-Mar,46.5818181818,212.815789474,21.4761904762,Abp0(1),2,43
1590,252075,122250,122A,,110.718117764,14.708196418,Gbbfi2,13,28
1562,254141,134551,121A,,,15.2620691724,Gbbr4,9,25
1627,262000,156500,124606,62.3482142857,182.552631579,20.5698924731,ADa,7,9
1610,262000,155800,123806,,216.763157895,24.8709677419,AIa,7,9
1612,262000,155800,123906,59.6696428571,215.447368421,28.0967741935,AIa,7,9
1616,262000,155800,124006,,196.368421053,23.7956989247,AIa,7,9
1953,240341,149665,136_ThBailleux,,427.164035165,,GbBf4,7,15
1986,240341,149665,137_ThBailleux,,479.292094505,,GbBf4,7,15
